亜|ア|sub-
近|キン、ちか-い|near
金|キン、コン、かね、（かな）|gold
菌|キン|germ
勤|キン、（ゴン）、つと-める、つと-まる|diligence
琴|キン、こと|harp
筋|キン、すじ|muscle
僅|キン、わず-か|a wee bit
禁|キン|prohibition
緊|キン|tense
錦|キン、にしき|brocade
謹|キン、つつし-む|discreet
襟|キン、えり|collar
吟|ギン|versify
銀|ギン|silver
区|ク|ward
句|ク|phrase
苦|ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る|suffer
駆|ク、か-ける、か-る|drive
具|グ|tool
惧|グ|dread
愚|グ、おろ-か|foolish
空|クウ、そら、あ-く、あ-ける、から|sky
偶|グウ|accidentally
遇|グウ|interview
隅|グウ、すみ|corner
串|くし|skewer
屈|クツ|yield
掘|クツ、ほ-る|dig
窟|クツ|cavern
熊|くま|bear
繰|く-る|winding
君|クン、きみ|you
訓|クン|instruction
勲|クン|meritorious deed
薫|クン、かお-る|fragrant
軍|グン|army
郡|グン|county
群|グン、む-れる、む-れ、（むら）|flock
兄|ケイ、（キョウ）、あに|older brother
刑|ケイ|punish
形|ケイ、ギョウ、かた、かたち|shape
系|ケイ|lineage
径|ケイ|diameter
茎|ケイ、くき|stalk
係|ケイ、かか-る、かかり|person in charge
型|ケイ、かた|model
契|ケイ、ちぎ-る|pledge
計|ケイ、はか-る、はか-らう|measure
恵|ケイ、エ、めぐ-む|favor
啓|ケイ|disclose
掲|ケイ、かか-げる|put up (a notice)
渓|ケイ|mountain stream
経|ケイ、キョウ、へ-る|manage
蛍|ケイ、ほたる|lightning-bug
敬|ケイ、うやま-う|respect
景|ケイ|scenery
軽|ケイ、かる-い、かろ-やか|light
傾|ケイ、かたむ-く、かたむ-ける|lean
携|ケイ、たずさ-える、たずさ-わる|portable
継|ケイ、つ-ぐ|inherit
詣|ケイ、もう-でる|visit a temple
慶|ケイ|jubilation
憬|ケイ|long for
稽|ケイ|consider
憩|ケイ、いこ-い、いこ-う|recess
警|ケイ|guard against
鶏|ケイ、にわとり|chicken
芸|ゲイ|art
迎|ゲイ、むか-える|welcome
鯨|ゲイ、くじら|whale
隙|ゲキ、すき|fissure
劇|ゲキ|drama
撃|ゲキ、う-つ|beat
激|ゲキ、はげ-しい|violent
桁|けた|beam
欠|ケツ、か-ける、か-く|lack
穴|ケツ、あな|hole
血|ケツ、ち|blood
決|ケツ、き-める、き-まる|decide
結|ケツ、むす-ぶ、ゆ-う、ゆ-わえる|tie
傑|ケツ|greatness
潔|ケツ、いさぎよ-い|undefiled
月|ゲツ、ガツ、つき|month, moon
犬|ケン、いぬ|dog
件|ケン|affair
見|ケン、み-る、み-える、み-せる|see
券|ケン|ticket
肩|ケン、かた|shoulder
建|ケン、（コン）、た-てる、た-つ|build
研|ケン、と-ぐ|sharpen
県|ケン|prefecture
倹|ケン|frugal
兼|ケン、か-ねる|concurrently
剣|ケン、つるぎ|sabre
拳|ケン、こぶし|fist
軒|ケン、のき|flats
健|ケン、すこ-やか|healthy
険|ケン、けわ-しい|precipitous
圏|ケン|sphere
堅|ケン、かた-い|strict
検|ケン|examine
嫌|ケン、（ゲン）、きら-う、いや|dislike
献|ケン、（コン）|offering
絹|ケン、きぬ|silk
遣|ケン、つか-う、つか-わす|dispatch
権|ケン、（ゴン）|rights
憲|ケン|constitution
賢|ケン、かしこ-い|intelligent
謙|ケン|self-effacing
鍵|ケン、かぎ|key
繭|ケン、まゆ|cocoon
顕|ケン|appear
験|ケン、（ゲン）|test
懸|ケン、（ケ）、か-ける、か-かる|suspend
元|ゲン、ガン、もと|origin
幻|ゲン、まぼろし|phantasm
玄|ゲン|mysterious
言|ゲン、ゴン、い-う、こと|say
弦|ゲン、つる|bowstring
限|ゲン、かぎ-る|limit
原|ゲン、はら|field
現|ゲン、あらわ-れる、あらわ-す|appear
舷|ゲン|gunwale
減|ゲン、へ-る、へ-らす|decrease
源|ゲン、みなもと|origin
厳|ゲン、（ゴン）、おごそ-か、きび-しい|strict
己|コ、キ、おのれ|self
戸|コ、と|door
古|コ、ふる-い、ふる-す|old
呼|コ、よ-ぶ|call
固|コ、かた-める、かた-まる、かた-い|hard
股|コ、また|crotch
虎|コ、とら|tiger
孤|コ|orphan
弧|コ|arc
故|コ、ゆえ|circumstances
枯|コ、か-れる、か-らす|wither
個|コ|individual
庫|コ、（ク）|warehouse
湖|コ、みずうみ|lake
雇|コ、やと-う|employ
誇|コ、ほこ-る|boast
鼓|コ、つづみ|drum
錮|コ|tie up
顧|コ、かえり-みる|look back
五|ゴ、いつ、いつ-つ|five
互|ゴ、たが-い|mutually
午|ゴ|noon
呉|ゴ|give
後|ゴ、コウ、のち、うし-ろ、あと、おく-れる|behind
娯|ゴ|recreation
悟|ゴ、さと-る|enlightenment
碁|ゴ|Go
語|ゴ、かた-る、かた-らう|language
誤|ゴ、あやま-る|mistake
護|ゴ|safeguard
口|コウ、ク、くち|mouth
工|コウ、ク|craft
公|コウ、おおやけ|public
勾|コウ|capture
孔|コウ|cavity
功|コウ、（ク）|achievement
巧|コウ、たく-み|adroit
広|コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる|wide
甲|コウ、カン|armor
交|コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす|mix
光|コウ、ひか-る、ひかり|ray
向|コウ、む-く、む-ける、む-かう、む-こう|over there
后|コウ|empress
好|コウ、この-む、す-く|like
江|コウ、え|inlet
考|コウ、かんが-える|think
行|コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う|go
坑|コウ|pit
孝|コウ|filial piety
抗|コウ|confront
攻|コウ、せ-める|aggression
更|コウ、さら、ふ-ける、ふ-かす|grow late
効|コウ、き-く|effect
幸|コウ、さいわ-い、さち、しあわ-せ|happiness
拘|コウ|arrest
肯|コウ|agreement
侯|コウ|marquis
厚|コウ、あつ-い|thick
恒|コウ|constancy
洪|コウ|deluge
皇|コウ、オウ|emperor
紅|コウ、（ク）、べに、くれない|deep red
荒|コウ、あら-い、あ-れる、あ-らす|laid waste
郊|コウ|outskirts
香|コウ、（キョウ）、か、かお-り、かお-る|incense
候|コウ、そうろう|climate
校|コウ|school
耕|コウ、たがや-す|till
航|コウ|cruise
貢|コウ、（ク）、みつ-ぐ|tribute
降|コウ、お-りる、お-ろす、ふ-る|descend
高|コウ、たか-い、たか、たか-まる、たか-める|tall, expensive
康|コウ|health
控|コウ、ひか-える|withdraw
梗|コウ|close up
黄|コウ、オウ、き、（こ）|yellow
喉|コウ、のど|throat
慌|コウ、あわ-てる、あわ-ただしい|disconcerted
港|コウ、みなと|harbor
硬|コウ、かた-い|stiff
絞|コウ、しぼ-る、し-める、し-まる|strangle
項|コウ|paragraph
溝|コウ、みぞ|gutter
鉱|コウ|mineral
構|コウ、かま-える、かま-う|construct
綱|コウ、つな|hawser
酵|コウ|fermentation
稿|コウ|draft
興|コウ、キョウ、おこ-る、おこ-す|entertain
衡|コウ|equilibrium
鋼|コウ、はがね|steel
講|コウ|lecture
購|コウ|subscription
乞|こ-う|beg
号|ゴウ|number
合|ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる|fit
拷|ゴウ|torture
剛|ゴウ|sturdy
傲|ゴウ|be proud
豪|ゴウ|overpowering
克|コク|overcome
告|コク、つ-げる|tell
谷|コク、たに|valley
刻|コク、きざ-む|engrave
国|コク、くに|country
黒|コク、くろ、くろ-い|black
穀|コク|cereals
酷|コク|cruel
獄|ゴク|prison
骨|コツ、ほね|bone
駒|こま|horse
込|こ-む、こ-める|crowded
頃|ころ|times
今|コン、キン、いま|now
困|コン、こま-る|become distressed
昆|コン|descendants
恨|コン、うら-む、うら-めしい|rancor
根|コン、ね|root
婚|コン|marriage
混|コン、ま-じる、ま-ざる、ま-ぜる、こ-む|mix
痕|コン、あと|mark
紺|コン|dark blue
魂|コン、たましい|soul
墾|コン|ground-breaking
懇|コン、ねんご-ろ|sociable
左|サ、ひだり|left (direction)
佐|サ|help
沙|サ|sand
査|サ|investigate
砂|サ、シャ、すな|sand
唆|サ、そそのか-す|tempt
差|サ、さ-す|distinction
詐|サ|lie
鎖|サ、くさり|chain
座|ザ、すわ-る|sit
挫|ザ|sprain
才|サイ|genius
再|サイ、（サ）、ふたた-び|again
災|サイ、わざわ-い|disaster
妻|サイ、つま|wife
采|サイ|form
砕|サイ、くだ-く、くだ-ける|smash
宰|サイ|superintend
栽|サイ|plantation
彩|サイ、いろど-る|coloring
採|サイ、と-る|pick
済|サイ、す-む、す-ます|settle
祭|サイ、まつ-る、まつ-り|festival
斎|サイ|purification
細|サイ、ほそ-い、ほそ-る、こま-か、こま-かい|thin
菜|サイ、な|vegetable
最|サイ、もっと-も|most
裁|サイ、た-つ、さば-く|judge
債|サイ|bond
催|サイ、もよお-す|sponsor
塞|サイ、ソク、ふさ-ぐ、ふさ-がる|obstruct
歳|サイ、（セイ）|year-end
載|サイ、の-せる、の-る|ride
際|サイ、きわ|occasion
埼|（さい）[6]|cape (geography)
在|ザイ、あ-る|exist
材|ザイ|lumber
剤|ザイ|dose
財|ザイ、（サイ）|wealth
罪|ザイ、つみ|guilt
崎|さき|promontory
作|サク、サ、つく-る|make
削|サク、けず-る|plane
昨|サク|previous
柵|サク|fence
索|サク|cord
策|サク|scheme
酢|サク、す|vinegar
搾|サク、しぼ-る|squeeze
錯|サク|confused
咲|さ-く|blossom
冊|サツ、サク|counter for books
札|サツ、ふだ|tag
刷|サツ、す-る|printing
刹|サツ、セツ|temple
拶|サツ|be imminent
殺|サツ、（サイ）、（セツ）、ころ-す|kill
察|サツ|guess
撮|サツ、と-る|snapshot
擦|サツ、す-る、す-れる|grate
雑|ザツ、ゾウ|miscellaneous
皿|さら|dish
三|サン、み、み-つ、みっ-つ|three
山|サン、やま|mountain
参|サン、まい-る|participate
桟|サン|scaffold
蚕|サン、かいこ|silkworm
惨|サン、ザン、みじ-め|wretched
産|サン、う-む、う-まれる、うぶ|give birth
傘|サン、かさ|umbrella
散|サン、ち-る、ち-らす、ち-らかす、ち-らかる|scatter
算|サン|calculate
酸|サン、す-い|acid
賛|サン|approve
残|ザン、のこ-る、のこ-す|remainder
斬|ザン、き-る|kill by slicing
暫|ザン|temporarily
士|シ|gentleman
子|シ、ス、こ|child
支|シ、ささ-える|branch
止|シ、と-まる、と-める|stop
氏|シ、うじ|family name
仕|シ、（ジ）、つか-える|do
史|シ|history
司|シ|director
四|シ、よ、よ-つ、よっ-つ、よん|four
市|シ、いち|market
矢|シ、や|arrow
旨|シ、むね|delicious
死|シ、し-ぬ|death
糸|シ、いと|thread
至|シ、いた-る|climax
伺|シ、うかが-う|pay respects
志|シ、こころざ-す、こころざし|intention
私|シ、わたくし、わたし|me
使|シ、つか-う|use
刺|シ、さ-す、さ-さる|thorn
始|シ、はじ-める、はじ-まる|begin
姉|シ、あね|older sister
枝|シ、えだ|branch
祉|シ|welfare
肢|シ|limb
姿|シ、すがた|figure
思|シ、おも-う|think
指|シ、ゆび、さ-す|finger
施|シ、セ、ほどこ-す|carry out
師|シ|expert
恣|シ|selfish
紙|シ、かみ|paper
脂|シ、あぶら|fat
視|シ|look at
紫|シ、むらさき|purple
詞|シ|poetry
歯|シ、は|tooth
嗣|シ|heir
試|シ、こころ-みる、ため-す|test
詩|シ|poem
資|シ|resources
飼|シ、か-う|domesticate
誌|シ|document
雌|シ、め、めす|feminine
摯|シ|seriousness
賜|シ、たまわ-る|grant
諮|シ、はか-る|consult with
示|ジ、シ、しめ-す|indicate
字|ジ、あざ|letter
寺|ジ、てら|Buddhist temple
次|ジ、シ、つ-ぐ、つぎ|next
耳|ジ、みみ|ear
自|ジ、シ、みずか-ら|oneself
似|ジ、に-る|becoming
児|ジ、（ニ）|child
事|ジ、（ズ）、こと|abstract thing
侍|ジ、さむらい|waiter
治|ジ、チ、おさ-める、おさ-まる、なお-る、なお-す|govern
持|ジ、も-つ|hold
時|ジ、とき|time
滋|ジ|nourishing
慈|ジ、いつく-しむ|mercy
辞|ジ、や-める|resign
磁|ジ|magnet
餌|ジ、えさ、え|bait
璽|ジ|emperor's seal
鹿|しか、（か）、ロク|deer
式|シキ|style
識|シキ|discriminating
軸|ジク|axis
七|シチ、なな、なな-つ、（なの）|seven
𠮟|シツ、しか-る|scold
失|シツ、うしな-う|lose
室|シツ、むろ|room
疾|シツ|rapidly
執|シツ、シュウ、と-る|tenacious
湿|シツ、しめ-る、しめ-す|damp
嫉|シツ|envy
漆|シツ、うるし|lacquer
質|シツ、シチ、（チ）|quality
実|ジツ、み、みの-る|truth
芝|しば|turf
写|シャ、うつ-す、うつ-る|copy
社|シャ、やしろ|company
車|シャ、くるま|car
舎|シャ|cottage
者|シャ、もの|someone
射|シャ、い-る|shoot
捨|シャ、す-てる|throw away
赦|シャ|pardon
斜|シャ、なな-め|diagonal
煮|シャ、に-る、に-える、に-やす|boil
遮|シャ、さえぎ-る|intercept
謝|シャ、あやま-る|apologize
邪|ジャ|wicked
蛇|ジャ、ダ、へび|snake
尺|シャク|shaku
借|シャク、か-りる|borrow
酌|シャク、く-む|bartending
釈|シャク|explanation
爵|シャク|baron
若|ジャク、（ニャク）、わか-い、も-しくは|young
弱|ジャク、よわ-い、よわ-る、よわ-まる、よわ-める|weak
寂|ジャク、（セキ）、さび、さび-しい、さび-れる|loneliness
手|シュ、て、（た）|hand
主|シュ、（ス）、ぬし、おも|master
守|シュ、（ス）、まも-る、も-り|protect
朱|シュ|vermilion
取|シュ、と-る|take
狩|シュ、か-る、か-り|hunt
首|シュ、くび|neck
殊|シュ、こと|particularly
珠|シュ|pearl
酒|シュ、さけ、（さか）|alcoholic drink
腫|シュ、は-れる、は-らす|tumor
種|シュ、たね|kind
趣|シュ、おもむき|gist
寿|ジュ、ことぶき|longevity
受|ジュ、う-ける、う-かる|accept
呪|ジュ、のろ-う|curse
授|ジュ、さず-ける、さず-かる|instruct
需|ジュ|demand
儒|ジュ|Confucian
樹|ジュ|trees
収|シュウ、おさ-める、おさ-まる|take in
囚|シュウ|captured
州|シュウ、す|state
舟|シュウ、ふね、（ふな）|boat
秀|シュウ、ひい-でる|excel
周|シュウ、まわ-り|circumference
宗|シュウ、ソウ|religion
拾|シュウ、ジュウ、ひろ-う|pick up
秋|シュウ、あき|autumn
臭|シュウ、くさ-い、にお-う|stinking
修|シュウ、（シュ）、おさ-める、おさ-まる|discipline
袖|シュウ、そで|sleeve
終|シュウ、お-わる、お-える|end
羞|シュウ|feel ashamed
習|シュウ、なら-う|learn
週|シュウ|week
就|シュウ、（ジュ）、つ-く、つ-ける|concerning
衆|シュウ、（シュ）|masses
